phase,group,name,method,path,requests,concurrency,failed,non2xx,rps,p95_ms
smoke,core,dashboard_summary,GET,/dashboard/summary,50,5,0,0,95.02,59
smoke,core,life_balance_summary,GET,/life-balance/summary,50,5,0,0,55.68,112
smoke,finance,finance_accounts,GET,/finance/accounts,50,5,0,0,75.83,113
smoke,finance,finance_transactions,GET,/finance/transactions,50,5,0,0,88.43,86
smoke,finance,finance_budgets,GET,/finance/budgets,50,5,0,0,110.69,56
smoke,ai,finance_ai_insights,GET,/finance/ai-insights,50,5,0,0,95.66,65
smoke,health,health_dashboard,GET,/health/dashboard,50,5,0,0,75.35,99
smoke,health,health_steps,GET,/health/steps,50,5,0,0,96.68,68
smoke,health,health_nutrition_summary,GET,/health/nutrition/summary,50,5,0,0,81.26,90
smoke,health,health_hydration_daily,GET,/health/hydration/summary/daily,50,5,0,0,75.14,123
smoke,ai,health_ai_insights,GET,/health/ai-insights,50,5,0,0,40.34,268
smoke,projects,projects_dashboard,GET,/projects/dashboard,50,5,0,0,65.60,118
smoke,projects,projects_index,GET,/projects,50,5,0,0,97.42,72
smoke,productivity,productivity_dashboard,GET,/productivity/dashboard,50,5,0,0,82.88,82
smoke,productivity,productivity_tasks,GET,/productivity/tasks,50,5,0,0,104.88,55
smoke,ai,productivity_ai_insights,GET,/productivity/ai-insights,50,5,0,0,54.92,124
smoke,ai,ai_recommendations,GET,/ai/recommendations,50,5,0,0,87.08,89
smoke,ai,ai_daily_scores,GET,/ai/scores/daily,50,5,0,0,88.82,77
smoke,auth,auth_me,GET,/auth/me,50,5,0,0,62.73,99
baseline,core,dashboard_summary,GET,/dashboard/summary,200,20,0,0,94.25,283
baseline,core,life_balance_summary,GET,/life-balance/summary,200,20,0,0,96.23,269
baseline,finance,finance_accounts,GET,/finance/accounts,200,20,0,0,88.73,320
baseline,finance,finance_transactions,GET,/finance/transactions,200,20,0,0,170.71,331
baseline,finance,finance_budgets,GET,/finance/budgets,200,20,0,0,58.16,611
baseline,ai,finance_ai_insights,GET,/finance/ai-insights,200,20,0,0,75.52,306
baseline,health,health_dashboard,GET,/health/dashboard,200,20,0,0,92.59,245
baseline,health,health_steps,GET,/health/steps,200,20,0,0,90.61,251
baseline,health,health_nutrition_summary,GET,/health/nutrition/summary,200,20,0,0,69.88,520
baseline,health,health_hydration_daily,GET,/health/hydration/summary/daily,200,20,0,0,118.62,223
baseline,ai,health_ai_insights,GET,/health/ai-insights,200,20,0,0,93.91,252
baseline,projects,projects_dashboard,GET,/projects/dashboard,200,20,0,0,137.90,168
baseline,projects,projects_index,GET,/projects,200,20,0,0,129.56,180
baseline,productivity,productivity_dashboard,GET,/productivity/dashboard,200,20,0,0,126.15,192
baseline,productivity,productivity_tasks,GET,/productivity/tasks,200,20,0,0,120.20,221
baseline,ai,productivity_ai_insights,GET,/productivity/ai-insights,200,20,0,0,63.92,460
baseline,ai,ai_recommendations,GET,/ai/recommendations,200,20,0,0,130.31,175
baseline,ai,ai_daily_scores,GET,/ai/scores/daily,200,20,0,0,130.94,177
baseline,auth,auth_me,GET,/auth/me,200,20,0,0,373.34,203
stress,core,dashboard_summary,GET,/dashboard/summary,500,50,0,0,116.11,665
stress,core,life_balance_summary,GET,/life-balance/summary,500,50,0,0,68.75,1029
stress,finance,finance_accounts,GET,/finance/accounts,500,50,0,0,70.80,825
stress,finance,finance_transactions,GET,/finance/transactions,500,50,0,0,70.07,1177
stress,finance,finance_budgets,GET,/finance/budgets,500,50,0,0,87.97,1105
stress,ai,finance_ai_insights,GET,/finance/ai-insights,500,50,0,0,66.95,1125
stress,health,health_dashboard,GET,/health/dashboard,500,50,0,0,81.84,677
stress,health,health_steps,GET,/health/steps,500,50,0,0,86.68,645
stress,health,health_nutrition_summary,GET,/health/nutrition/summary,500,50,0,0,87.05,611
stress,health,health_hydration_daily,GET,/health/hydration/summary/daily,500,50,0,0,100.28,707
stress,ai,health_ai_insights,GET,/health/ai-insights,500,50,0,0,60.57,983
stress,projects,projects_dashboard,GET,/projects/dashboard,500,50,0,0,75.81,785
stress,projects,projects_index,GET,/projects,500,50,0,0,81.58,716
stress,productivity,productivity_dashboard,GET,/productivity/dashboard,500,50,0,0,88.36,602
stress,productivity,productivity_tasks,GET,/productivity/tasks,500,50,0,0,110.74,627
stress,ai,productivity_ai_insights,GET,/productivity/ai-insights,500,50,0,0,49.72,1263
stress,ai,ai_recommendations,GET,/ai/recommendations,500,50,0,0,79.10,771
stress,ai,ai_daily_scores,GET,/ai/scores/daily,500,50,0,0,73.42,915
stress,auth,auth_me,GET,/auth/me,500,50,0,0,73.82,910
