phase,group,name,method,path,requests,concurrency,failed,non2xx,rps,p95_ms
smoke,core,dashboard_summary,GET,/dashboard/summary,50,5,0,0,69.64,89
smoke,core,life_balance_summary,GET,/life-balance/summary,50,5,0,0,70.71,82
smoke,finance,finance_accounts,GET,/finance/accounts,50,5,0,0,68.63,109
smoke,finance,finance_transactions,GET,/finance/transactions,50,5,0,0,64.37,106
smoke,finance,finance_budgets,GET,/finance/budgets,50,5,0,0,59.94,160
smoke,ai,finance_ai_insights,GET,/finance/ai-insights,50,5,0,0,75.62,111
smoke,health,health_dashboard,GET,/health/dashboard,50,5,0,0,94.17,70
smoke,health,health_steps,GET,/health/steps,50,5,0,0,93.91,67
smoke,health,health_nutrition_summary,GET,/health/nutrition/summary,50,5,0,0,96.33,63
smoke,health,health_hydration_daily,GET,/health/hydration/summary/daily,50,5,0,0,75.48,105
smoke,ai,health_ai_insights,GET,/health/ai-insights,50,5,0,0,69.64,93
smoke,projects,projects_dashboard,GET,/projects/dashboard,50,5,0,0,96.99,73
smoke,projects,projects_index,GET,/projects,50,5,0,0,72.26,143
smoke,productivity,productivity_dashboard,GET,/productivity/dashboard,50,5,0,0,96.76,65
smoke,productivity,productivity_tasks,GET,/productivity/tasks,50,5,0,0,70.95,106
smoke,ai,productivity_ai_insights,GET,/productivity/ai-insights,50,5,0,0,54.80,141
smoke,ai,ai_recommendations,GET,/ai/recommendations,50,5,0,0,84.61,75
smoke,ai,ai_daily_scores,GET,/ai/scores/daily,50,5,0,0,74.80,100
smoke,auth,auth_me,GET,/auth/me,50,5,0,0,51.31,245
baseline,core,dashboard_summary,GET,/dashboard/summary,200,20,0,0,94.67,234
baseline,core,life_balance_summary,GET,/life-balance/summary,200,20,0,0,94.34,240
baseline,finance,finance_accounts,GET,/finance/accounts,200,20,0,0,83.80,298
baseline,finance,finance_transactions,GET,/finance/transactions,200,20,0,0,67.65,385
baseline,finance,finance_budgets,GET,/finance/budgets,200,20,0,0,64.90,424
baseline,ai,finance_ai_insights,GET,/finance/ai-insights,200,20,0,0,45.06,810
baseline,health,health_dashboard,GET,/health/dashboard,200,20,0,0,56.35,503
baseline,health,health_steps,GET,/health/steps,200,20,0,0,59.77,457
baseline,health,health_nutrition_summary,GET,/health/nutrition/summary,200,20,0,0,149.14,409
baseline,health,health_hydration_daily,GET,/health/hydration/summary/daily,200,20,0,0,71.61,350
baseline,ai,health_ai_insights,GET,/health/ai-insights,200,20,0,0,56.70,421
baseline,projects,projects_dashboard,GET,/projects/dashboard,200,20,0,0,75.65,346
baseline,projects,projects_index,GET,/projects,200,20,0,0,72.65,339
baseline,productivity,productivity_dashboard,GET,/productivity/dashboard,200,20,0,0,73.95,339
baseline,productivity,productivity_tasks,GET,/productivity/tasks,200,20,0,0,70.11,332
baseline,ai,productivity_ai_insights,GET,/productivity/ai-insights,200,20,0,0,47.56,498
baseline,ai,ai_recommendations,GET,/ai/recommendations,200,20,0,0,70.72,342
baseline,ai,ai_daily_scores,GET,/ai/scores/daily,200,20,0,0,74.42,342
baseline,auth,auth_me,GET,/auth/me,200,20,0,0,102.53,451
stress,core,dashboard_summary,GET,/dashboard/summary,500,50,0,0,76.59,747
stress,core,life_balance_summary,GET,/life-balance/summary,500,50,0,0,74.02,745
stress,finance,finance_accounts,GET,/finance/accounts,500,50,0,0,76.25,747
stress,finance,finance_transactions,GET,/finance/transactions,500,50,0,0,70.05,891
stress,finance,finance_budgets,GET,/finance/budgets,500,50,0,0,89.28,774
stress,ai,finance_ai_insights,GET,/finance/ai-insights,500,50,0,0,68.59,831
stress,health,health_dashboard,GET,/health/dashboard,500,50,499,0,75.44,767
stress,health,health_steps,GET,/health/steps,500,50,0,0,70.57,832
stress,health,health_nutrition_summary,GET,/health/nutrition/summary,500,50,0,0,68.28,1063
stress,health,health_hydration_daily,GET,/health/hydration/summary/daily,500,50,0,0,79.63,1064
stress,ai,health_ai_insights,GET,/health/ai-insights,500,50,0,0,57.31,978
stress,projects,projects_dashboard,GET,/projects/dashboard,500,50,499,0,72.00,847
stress,projects,projects_index,GET,/projects,500,50,0,0,69.58,882
stress,productivity,productivity_dashboard,GET,/productivity/dashboard,500,50,499,0,87.15,767
stress,productivity,productivity_tasks,GET,/productivity/tasks,500,50,0,0,73.87,755
stress,ai,productivity_ai_insights,GET,/productivity/ai-insights,500,50,0,0,48.75,1135
stress,ai,ai_recommendations,GET,/ai/recommendations,500,50,0,0,72.67,782
stress,ai,ai_daily_scores,GET,/ai/scores/daily,500,50,0,0,89.19,770
stress,auth,auth_me,GET,/auth/me,500,50,0,0,60.36,924
